ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions
mw_review_003_001,apple-cider-old-fashioned,Apple Cider Old Fashioned,An Old Fashioned sweetened with apple cider and maple for a clear autumn profile.,"The Apple Cider Old Fashioned keeps whiskey, bitters, and a large ice cube, then folds in reduced apple cider or cider syrup and maple. Apple and spice sit under the whiskey without turning the drink into punch. Served on a rock with an orange peel, it is a straightforward fall variation on a classic template.","Stir an Apple Cider Old Fashioned with whiskey, apple cider, maple, and bitters for a classic fall cocktail.",Bourbon,Spirit-Forward,fall|spirit-forward|old-fashioned-family|seasonal,bourbon|apple-cider|maple|bitters|fall,,"Apple Cider Old Fashioned in a rocks glass over a large ice cube, amber, orange peel garnish.",Rocks glass,orange peel,Stir,Easy,8,4,2,4,7,6,"Reduce cider briefly for intensity, or use a concentrated cider syrup. Keep sweetness below a dessert profile.",Apple cider Old Fashioned variations proliferated with craft-bar seasonal menus as a way to keep the whiskey template while signaling autumn.,Modern craft cocktail seasonal menu practice,{},2 oz bourbon|0.5 oz apple cider syrup|0.25 oz maple syrup|2 dashes Angostura bitters|1 dash orange bitters,"1. Stir bourbon, cider syrup, maple, and bitters with ice. 2. Strain over a large ice cube in a rocks glass. 3. Garnish with an expressed orange peel."
mw_review_003_002,spiked-apple-cider,Spiked Apple Cider,Warm apple cider fortified with whiskey or rum and finished with spice.,"Spiked Apple Cider is a hot fall drink built from mulled or warmed cider and a measure of whiskey or dark rum. Cinnamon and clove perfume the cider while the spirit adds warmth without masking the apple. Served in a mug, it is communal, seasonal, and easy to batch for gatherings.","Build Spiked Apple Cider with warm cider, whiskey, and spice for a classic fall hot cocktail.",Whiskey,Hot,fall|hot|seasonal|party,apple-cider|whiskey|cinnamon|hot|fall,,"Spiked Apple Cider in a mug, amber, cinnamon stick garnish, faint steam.",Mug,cinnamon stick|orange peel,Build,Easy,5,5,2,1,8,5,Warm cider below a boil. Add spirit in the mug so alcohol does not cook off aggressively.,Fortified cider drinks are longstanding cold-weather tavern fare in apple-growing regions of North America and Europe.,American and European cider drinking traditions,{},6 oz warm apple cider|2 oz whiskey|0.25 oz maple syrup optional|1 cinnamon stick|2 cloves|orange peel,1. Warm cider with cinnamon and cloves. 2. Add whiskey and optional maple to a warmed mug. 3. Top with the hot cider. 4. Garnish with cinnamon stick and orange peel.
mw_review_003_003,maple-old-fashioned,Maple Old Fashioned,A whiskey Old Fashioned sweetened with maple syrup instead of sugar.,"The Maple Old Fashioned replaces simple syrup or sugar with maple, keeping bitters and a large cube intact. Maple adds caramel and wood notes that reinforce bourbon or rye without turning the drink sticky when measured carefully. It is one of the cleanest seasonal Old Fashioned variants.","Stir a Maple Old Fashioned with whiskey, maple syrup, and bitters for a classic fall whiskey cocktail.",Bourbon,Spirit-Forward,fall|spirit-forward|old-fashioned-family,bourbon|maple|bitters|stirred|fall,,"Maple Old Fashioned in a rocks glass over a large ice cube, deep amber, orange peel.",Rocks glass,orange peel,Stir,Easy,8,4,1,4,7,6,"Use real maple syrup, preferably grade A dark for flavor. Start at a quarter-ounce and adjust.",Maple as an Old Fashioned sweetener became common in North American craft bars where maple is a regional pantry staple.,Modern North American craft cocktail practice,{},2 oz bourbon|0.25 oz maple syrup|2 dashes Angostura bitters|1 dash orange bitters,"1. Stir bourbon, maple, and bitters with ice. 2. Strain over a large ice cube. 3. Garnish with an expressed orange peel."
mw_review_003_004,applejack-rabbit,Applejack Rabbit,A Prohibition-era apple brandy sour with maple and citrus.,"The Applejack Rabbit combines apple brandy with lemon, orange, and maple into a bright autumn sour. Apple character leads, maple softens, and citrus keeps the drink from reading as dessert. Shaken and served up, it is a historical fall cocktail with a clear structural identity.","Shake an Applejack Rabbit with apple brandy, maple, lemon, and orange for a classic autumn sour.",Apple Brandy,Sour,fall|sour|classic|apple,apple-brandy|maple|lemon|orange|fall,,"Applejack Rabbit in a chilled coupe, golden amber, ungarnished.",Coupe,None,Shake,Easy,6,4,5,1,7,5,Fresh citrus is essential. Calvados or bonded apple brandy both work; adjust maple to the spirit’s sweetness.,The Applejack Rabbit appears in Prohibition-era sources as an apple brandy cocktail using maple and citrus.,Prohibition-era American cocktail manuals; Imbibe histories,{},2 oz apple brandy|0.75 oz fresh lemon juice|0.5 oz fresh orange juice|0.5 oz maple syrup,1. Shake all ingredients with ice. 2. Fine-strain into a chilled coupe. 3. Serve ungarnished.
mw_review_003_005,cranberry-mule,Cranberry Mule,"A mule highball with vodka, cranberry, lime, and ginger beer.","The Cranberry Mule keeps the mule’s ginger-lime frame and adds cranberry for tart fall color and flavor. Vodka stays neutral under spice and berry acidity. Served over ice in a highball or copper mug, it is an easy seasonal party drink.","Build a Cranberry Mule with vodka, cranberry juice, lime, and ginger beer for a fall highball.",Vodka,Highball,fall|highball|mule-family|party,vodka|cranberry|ginger-beer|lime|fall,,"Cranberry Mule in a copper mug or highball over ice, deep red, lime wheel.",Highball glass,lime wheel|fresh cranberries,Build,Easy,5,4,6,1,6,4,Use a spicy ginger beer. Unsweetened or lightly sweetened cranberry keeps the drink from becoming candy-like.,Cranberry mule variations became common seasonal specials as bars adapted the Moscow Mule template to fall flavors.,Modern mule variation menus,{},2 oz vodka|1 oz cranberry juice|0.5 oz fresh lime juice|4 oz ginger beer,"1. Build vodka, cranberry, and lime over ice. 2. Top with ginger beer and stir gently. 3. Garnish with lime and cranberries."
mw_review_003_006,autumn-spritz,Autumn Spritz,"A sparkling fall spritz with amaro, apple cider, and Prosecco.","The Autumn Spritz applies the spritz template to fall pantry flavors: a bitter amaro for depth, apple cider for seasonal sweetness, and Prosecco for lift. Served over ice in a wine glass, it is lighter than a hot cider drink but clearly autumn-coded.","Build an Autumn Spritz with amaro, apple cider, and Prosecco for a sparkling fall cocktail.",Liqueur,Spritz,fall|spritz|sparkling|seasonal,amaro|apple-cider|prosecco|spritz|fall,,"Autumn Spritz in a wine glass over ice, amber-gold, apple slice garnish.",Wine glass,apple slice,Build,Easy,4,4,2,4,7,4,"Averna, Nonino, or similar medium amaro works. Keep cider dryish so the spritz stays refreshing.",Seasonal spritzes expanded with the spritz boom as bars swapped bitter aperitivi and fruit for calendar-specific flavors.,Modern aperitivo and spritz menu practice,{},1.5 oz amaro|1.5 oz apple cider|3 oz Prosecco|1 oz club soda,1. Fill a wine glass with ice. 2. Add amaro and cider. 3. Top with Prosecco and soda. 4. Garnish with an apple slice.
mw_review_003_007,mulled-wine,Mulled Wine,Warm spiced red wine with citrus and winter spices for cold-weather serving.,"Mulled Wine gently heats red wine with citrus, cinnamon, clove, and sweetener. The goal is aromatic warmth without boiling off the wine’s character. Served in a mug, it is a foundational fall and winter communal drink across Europe and North America.","Warm Mulled Wine with red wine, citrus, and spice for a classic fall and winter drink.",Wine,Hot,fall|winter|hot|seasonal|party,wine|cinnamon|clove|orange|hot|fall,,"Mulled Wine in a mug, deep red, cinnamon stick and orange peel, light steam.",Mug,cinnamon stick|orange peel,Build,Easy,4,5,2,2,9,5,Keep below a simmer. Add a splash of brandy only at the end if fortifying.,"Mulled wine traditions span European winter markets and holidays, with regional spice blends under names like Glühwein.",European winter market and wine traditions,{},1 bottle dry red wine|2 oz brandy optional|3 oz fresh orange juice|2 oz honey or sugar|2 cinnamon sticks|4 cloves|2 star anise|orange peel,"1. Warm wine with citrus, sweetener, and spices over low heat. 2. Do not boil. 3. Strain into mugs. 4. Garnish with cinnamon and orange peel."
mw_review_003_008,tom-and-jerry,Tom and Jerry,"A hot eggnog-style drink built from a spiced batter, spirit, and hot milk.","The Tom and Jerry is a hot batter drink related to eggnog: a sweet spiced egg batter is loosened with brandy and rum, then finished with hot milk or water. Rich, aromatic, and festive, it is strongly associated with Midwest American winter service. The batter is the technique that defines the drink.","Build a Tom and Jerry with spiced egg batter, brandy, rum, and hot milk for a classic winter cocktail.",Brandy,Hot,fall|winter|hot|holiday|classic,brandy|rum|egg|hot|batter|holiday,,"Tom and Jerry in a mug, creamy pale, nutmeg dusting, light steam.",Mug,grated nutmeg,Build,Advanced,5,6,0,1,7,9,Make batter ahead. Use pasteurized eggs if preferred. Hot milk gives a richer finish than water.,The Tom and Jerry is often linked to nineteenth-century American bartender Jerry Thomas and remains a Midwest holiday specialty.,Jerry Thomas cocktail histories; Midwest holiday bar traditions,{},1 oz brandy|1 oz dark rum|2 tbsp Tom and Jerry batter|4 oz hot milk|grated nutmeg,1. Add batter to a warmed mug. 2. Stir in brandy and rum until smooth. 3. Top with hot milk and stir. 4. Dust with nutmeg.
mw_review_003_009,brandy-milk-punch,Brandy Milk Punch,"A New Orleans brandy cocktail with milk, sugar, and nutmeg over ice.","Brandy Milk Punch is a creamy stirred or shaken milk cocktail associated with New Orleans brunch and cooler weather. Brandy, milk, sugar, and vanilla create a soft dessert-leaning profile finished with nutmeg. Served over ice, it is richer than a sour and lighter than hot eggnog.","Shake a Brandy Milk Punch with brandy, milk, sugar, and nutmeg for a classic New Orleans cocktail.",Brandy,Dessert,fall|dessert|classic|new-orleans,brandy|milk|nutmeg|cream|brunch,,"Brandy Milk Punch in a rocks glass over ice, creamy white, nutmeg dusting.",Rocks glass,grated nutmeg,Shake,Easy,5,5,0,1,6,8,Whole milk or a mix of milk and cream works. Shake hard for chill and froth.,"Milk punch has deep roots in early American and English drinking, with the brandy version closely tied to New Orleans service.",New Orleans cocktail histories; early milk punch traditions,{},2 oz brandy|4 oz whole milk|0.75 oz simple syrup|0.25 oz vanilla extract|grated nutmeg,"1. Shake brandy, milk, syrup, and vanilla with ice. 2. Strain into a rocks glass over ice. 3. Dust with nutmeg."
mw_review_003_010,horses-neck,Horse's Neck,A long highball of brandy or whiskey with ginger ale and a long lemon peel.,"The Horse’s Neck is a simple highball defined by its long spiral citrus peel hanging over the rim. Brandy or whiskey sits under ginger ale for a light, spicy length. It reads as an approachable cooler-weather highball with classic presentation.","Build a Horse's Neck with brandy, ginger ale, and a long citrus peel for a classic highball.",Brandy,Highball,fall|highball|classic|easy,brandy|ginger-ale|citrus-peel|highball,,Horse's Neck in a highball over ice with a long citrus peel hanging over the rim.,Highball glass,long orange peel,Build,Easy,4,4,1,1,6,4,The long peel is mandatory to the identity of the drink. A dash of bitters is optional but traditional in some versions.,"The Horse’s Neck takes its name from the long hanging peel, said to resemble a horse’s neck draped over the glass.",Classic highball cocktail histories,{},2 oz brandy|4 oz ginger ale|2 dashes Angostura bitters optional|long orange peel,1. Place a long orange peel in a highball glass so it hangs over the rim. 2. Add ice and brandy. 3. Top with ginger ale and optional bitters. 4. Stir once.
