ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions
mw_review_006_001,shirley-temple,Shirley Temple,"A classic non-alcoholic highball of ginger ale and grenadine, finished with a cherry.","The Shirley Temple is the default kid-friendly bar mocktail: ginger ale sweetened and colored with grenadine, served over ice with a cherry. It is bright, fizzy, and deliberately simple—useful as a hosting default when someone wants a dressed drink without alcohol.",Build a Shirley Temple with ginger ale and grenadine for a classic non-alcoholic highball.,Non-Alcoholic,Highball,mocktail|highball|zero-proof|hosting,zero-proof|mocktail|ginger-ale|grenadine|cherry|kid-friendly,,"Shirley Temple in a highball over ice, pink-amber ginger ale, cherry garnish.",Highball glass,maraschino cherry,Build,Easy,1,8,1,0,3,4,"Use real ginger ale, not plain soda. A splash of fresh lime keeps the sweetness in check for adults.","Named for the child star Shirley Temple, the drink became a mid-century American restaurant staple for guests who wanted a cocktail-looking soda.",American bar and restaurant drink histories,{},4 oz ginger ale|0.5 oz grenadine|1 maraschino cherry,1. Fill a highball with ice. 2. Add grenadine. 3. Top with ginger ale and stir gently. 4. Garnish with a cherry.
mw_review_006_002,virgin-mary,Virgin Mary,"A non-alcoholic Bloody Mary: tomato juice, savory seasonings, and a celery stick.","The Virgin Mary keeps the Bloody Mary’s tomato-savory profile without vodka. Horseradish, hot sauce, Worcestershire, citrus, and celery salt still define the drink. Served tall over ice, it is the clearest zero-proof brunch option in the spicy-savory lane.",Build a Virgin Mary with tomato juice and savory seasonings for a zero-proof Bloody Mary.,Non-Alcoholic,Savory,mocktail|savory|zero-proof|brunch,zero-proof|mocktail|tomato|spicy|brunch|celery,,"Virgin Mary in a highball over ice, opaque red tomato drink, celery stalk and lime.",Highball glass,celery stalk|lime wedge,Build,Easy,3,2,4,1,6,5,Taste and adjust heat and salt before pouring. A light celery-salt rim is optional.,Calling a Bloody Mary without vodka a Virgin Mary became standard brunch language as non-drinkers asked for the same savory profile.,Brunch and mocktail menu practice,{},4 oz tomato juice|0.5 oz fresh lemon juice|2 dashes Worcestershire sauce|2 dashes hot sauce|1 pinch celery salt|1 pinch black pepper|horseradish to taste,"1. Combine tomato juice, lemon, Worcestershire, hot sauce, celery salt, pepper, and horseradish in a glass. 2. Add ice and stir. 3. Garnish with celery and lime."
mw_review_006_003,arnold-palmer,Arnold Palmer,Half iced tea and half lemonade—a classic American non-alcoholic cooler.,The Arnold Palmer mixes iced tea and lemonade in roughly equal parts over ice. Tea bitterness balances lemonade sweetness for an easy patio drink. It is one of the most recognized zero-proof coolers in American hosting.,Build an Arnold Palmer with iced tea and lemonade for a classic zero-proof cooler.,Non-Alcoholic,Highball,mocktail|highball|zero-proof|summer,zero-proof|mocktail|iced-tea|lemonade|summer|hosting,,"Arnold Palmer in a highball over ice, amber-gold tea-lemonade, lemon wedge optional omit if preferred.",Highball glass,lemon wedge optional,Build,Easy,1,5,5,2,4,4,Brew tea strong enough to stand up to lemonade. Adjust the ratio toward tea for a drier adult version.,Golfer Arnold Palmer popularized the iced-tea-and-lemonade mix; bars later called the spiked version a John Daly.,American iced-tea drink lore,{},3 oz brewed iced tea|3 oz lemonade,1. Fill a highball with ice. 2. Add iced tea and lemonade. 3. Stir briefly. 4. Garnish with lemon if desired.
mw_review_006_004,virgin-mojito,Virgin Mojito,"A zero-proof mojito of mint, lime, sugar, and soda over ice.","The Virgin Mojito keeps mint, lime, and sugar from the classic Cuban highball and skips the rum. Muddled mint oils and bright citrus still read as a mojito once soda lengthens the drink. It is a reliable summer zero-proof call.","Build a Virgin Mojito with mint, lime, sugar, and soda for a classic zero-proof highball.",Non-Alcoholic,Highball,mocktail|highball|zero-proof|mint,zero-proof|mocktail|mint|lime|soda|summer,,"Virgin Mojito in a highball over ice, pale, mint sprig bouquet.",Highball glass,mint sprig,Build,Easy,1,4,6,0,8,4,Muddle mint gently with sugar and lime—do not shred the leaves into bitterness.,Virgin mojitos became a default restaurant mocktail because the mint-lime-soda structure still feels like a composed cocktail without rum.,Modern restaurant mocktail menus,{},8-10 mint leaves|0.75 oz fresh lime juice|0.5 oz simple syrup|4 oz club soda,1. Gently muddle mint with syrup and lime in a highball. 2. Add ice. 3. Top with soda and stir once. 4. Garnish with a mint sprig.
mw_review_006_005,no-groni,No-Groni,"A zero-proof Negroni template with non-alcoholic gin, bitter aperitif, and vermouth alternatives.","The No-Groni mirrors the equal-parts Negroni with non-alcoholic gin, non-alcoholic bitter aperitif, and non-alcoholic sweet vermouth. Bitterness and orange still define the profile; the body is lighter without ethanol heat. Stirred and served over ice, it is the craft zero-proof answer to a Negroni order.","Stir a No-Groni with non-alcoholic gin, bitter aperitif, and vermouth for a zero-proof Negroni.",Non-Alcoholic,Spirit-Forward,mocktail|spirit-forward|zero-proof|negroni-family,zero-proof|mocktail|negroni|bitter|stirred|craft,,"No-Groni in a rocks glass over a large cube, deep orange-red, orange peel.",Rocks glass,orange peel,Stir,Easy,4,3,1,7,7,5,Equal parts keep the architecture. Brand choice for NA bitter and vermouth changes the drink more than technique does.,No-Groni and similar NA Negroni riffs grew with the craft non-alcoholic spirits boom of the late 2010s.,Modern zero-proof cocktail practice,{},1 oz non-alcoholic gin|1 oz non-alcoholic bitter aperitif|1 oz non-alcoholic sweet vermouth,1. Stir all ingredients with ice. 2. Strain over a large ice cube. 3. Garnish with an expressed orange peel.
mw_review_006_006,zero-proof-margarita,Zero-Proof Margarita,"A non-alcoholic margarita with lime, agave, and orange, optional salt rim.","The Zero-Proof Margarita keeps lime, agave sweetness, and orange character without tequila. Non-alcoholic agave spirit is ideal; without it, a measured mix of lime, agave syrup, and orange juice still lands in margarita territory when shaken and salted. Served on the rocks, it fills a major hosting gap.","Shake a Zero-Proof Margarita with lime, agave, and orange for a non-alcoholic margarita.",Non-Alcoholic,Sour,mocktail|sour|zero-proof|margarita-family,zero-proof|mocktail|lime|agave|margarita,,"Zero-Proof Margarita in a rocks glass over ice, pale green, lime wheel, salt rim.",Rocks glass,lime wheel|optional salt rim,Shake,Easy,2,4,7,0,5,5,"If using NA tequila, treat it like blanco. Without it, keep orange juice measured so the drink stays tart.",Zero-proof margaritas became one of the most requested NA cocktail templates as tequila culture and dry dining grew together.,Modern zero-proof bar menus,{},2 oz non-alcoholic tequila alternative or 1.5 oz cold water + 0.5 oz orange juice|1 oz fresh lime juice|0.75 oz agave syrup|0.5 oz orange juice if using NA tequila|optional salt rim,1. Optional salt half-rim. 2. Shake all liquid ingredients with ice. 3. Strain over fresh ice. 4. Garnish with lime.
mw_review_006_007,zero-proof-mule,Zero-Proof Mule,"A Moscow Mule without vodka: ginger beer, lime, and mint over ice.","The Zero-Proof Mule keeps ginger beer and lime from the Moscow Mule and omits vodka. Spicy ginger and citrus still define the highball. Served in a copper mug or highball, it is an easy zero-proof swap for mule drinkers.",Build a Zero-Proof Mule with ginger beer and lime for a non-alcoholic Moscow Mule.,Non-Alcoholic,Highball,mocktail|highball|zero-proof|mule,zero-proof|mocktail|ginger-beer|lime|mule,,"Zero-Proof Mule in a copper mug or highball over ice, pale ginger, mint sprig.",Copper mug,mint sprig|lime wedge,Build,Easy,2,4,5,1,7,4,Use a spicy ginger beer. A splash of soda lightens overly sweet brands.,Non-alcoholic mules spread quickly because ginger beer already carries most of the classic mule’s flavor.,Modern mule and mocktail menus,{},4 oz ginger beer|0.75 oz fresh lime juice|mint sprig,1. Fill a copper mug or highball with ice. 2. Add lime juice. 3. Top with ginger beer and stir once. 4. Garnish with mint and lime.
mw_review_006_008,hibiscus-cooler,Hibiscus Cooler,"A tart floral zero-proof cooler of hibiscus tea, citrus, and soda.",The Hibiscus Cooler builds on chilled hibiscus (agua de Jamaica–style) tea with citrus and soda. Deep red color and cranberry-like tartness make it feel composed without alcohol. It is a strong hosting mocktail when you want something less sugary than a Shirley Temple.,"Build a Hibiscus Cooler with hibiscus tea, citrus, and soda for a floral zero-proof highball.",Non-Alcoholic,Highball,mocktail|highball|zero-proof|floral,zero-proof|mocktail|hibiscus|citrus|soda|hosting,,"Hibiscus Cooler in a highball over ice, deep ruby red, mint or orange peel.",Highball glass,orange peel|mint sprig,Build,Easy,2,4,6,1,6,4,"Brew hibiscus strong, then chill. Sweeten lightly—the flower is already tart.",Hibiscus coolers borrow from agua de Jamaica and Caribbean/Mexican agua fresca traditions adapted into modern mocktail service.,Agua de Jamaica and modern mocktail practice,{},3 oz chilled hibiscus tea|0.5 oz fresh lime juice|0.5 oz simple syrup|2 oz club soda,"1. Build hibiscus, lime, and syrup over ice. 2. Top with soda and stir gently. 3. Garnish with orange peel or mint."
mw_review_006_009,vermouth-tonic,Vermouth Tonic,A low-ABV highball of vermouth lengthened with tonic and citrus.,Vermouth Tonic pours fortified wine over ice and tops it with tonic. Blanc or dry vermouth stays crisp; sweet vermouth reads richer. It is a sessionable aperitif highball with far less strength than a spirit-forward cocktail.,Build a Vermouth Tonic with vermouth and tonic water for a low-ABV aperitif highball.,Vermouth,Highball,low-abv|highball|aperitif|vermouth,low-abv|vermouth|tonic|aperitif|sessionable,,"Vermouth Tonic in a highball over ice, pale gold, orange or grapefruit peel.",Highball glass,orange peel|grapefruit peel,Build,Easy,3,3,2,4,6,4,Blanc vermouth is the most crowd-pleasing. Keep tonic cold and not overly sweet.,Vermouth-and-tonic highballs surged in Spain and modern aperitivo bars as drinkers sought lower-ABV daytime options.,Spanish and modern aperitivo highball practice,{},2 oz blanc or dry vermouth|4 oz tonic water,1. Fill a highball with ice. 2. Add vermouth. 3. Top with tonic and stir once. 4. Garnish with citrus peel.
mw_review_006_010,tinto-de-verano,Tinto de Verano,A Spanish low-ABV cooler of red wine and lemon soda over ice.,"Tinto de Verano (“red wine of summer”) mixes red wine with lemon soda or gaseosa over ice. It is lighter and less bitter than a Kalimotxo (wine and cola) and built for heat. Served tall, it is a classic European low-ABV hosting drink.",Build a Tinto de Verano with red wine and lemon soda for a Spanish low-ABV cooler.,Wine,Highball,low-abv|highball|wine|spanish|summer,low-abv|wine|lemon-soda|spanish|summer,,"Tinto de Verano in a highball over ice, ruby wine cooler, orange slice.",Highball glass,orange slice,Build,Easy,3,4,4,1,4,4,Use an inexpensive young red. Lemon soda (or lemonade lightly cut with soda) beats plain Sprite for balance.,Tinto de Verano is a Spanish summer staple—often more common at casual terraces than sangria.,Spanish everyday drink culture,{},3 oz red wine|3 oz lemon soda,1. Fill a highball with ice. 2. Add wine and lemon soda. 3. Stir gently. 4. Garnish with an orange slice.
