ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions
mw_review_001_001,bobby-burns,Bobby Burns,A Scotch Manhattan variation finished with Bénédictine for gentle herbal sweetness.,"The Bobby Burns applies the Manhattan template to Scotch whisky, then adds a small measure of Bénédictine. Scotch contributes grain and peat character in place of rye spice, while sweet vermouth supplies wine depth and the liqueur adds herbal sweetness without turning the drink dessert-like. Stirred and served up, it remains spirit-forward and compact. The drink appears in early twentieth-century manuals and is named for the Scottish poet Robert Burns.","Stir a Bobby Burns with Scotch whisky, sweet vermouth, and Bénédictine for a herbal Manhattan variation.",Scotch,Spirit-Forward,classic|spirit-forward|manhattan-family|scotch,scotch|vermouth|benedictine|stirred|manhattan,,"Bobby Burns served in a chilled coupe, amber-brown in color, garnished with a lemon twist.",Coupe,lemon twist,Stir,Intermediate,8,4,1,4,7,6,Keep the Bénédictine modest; excess sweetness buries the Scotch. A blended Scotch keeps the profile balanced; peated malts make a louder variant.,"The Bobby Burns appears in Harry Craddock’s Savoy Cocktail Book (1930) as a Scotch whisky cocktail with vermouth and Bénédictine, named for the Scottish poet.","Harry Craddock, The Savoy Cocktail Book (1930)",{},2 oz Scotch whisky|1 oz sweet vermouth|0.25 oz Bénédictine|2 dashes orange bitters,"1. Add Scotch, sweet vermouth, Bénédictine, and orange bitters to a mixing glass with ice. 2. Stir until well chilled and slightly viscous. 3. Strain into a chilled coupe. 4. Garnish with a lemon twist."
mw_review_001_002,champs-elysees,Champs-Élysées,A Cognac sour from the 1920s that uses yellow Chartreuse in place of orange liqueur.,"The Champs-Élysées keeps the Sidecar’s Cognac-and-lemon frame but swaps orange liqueur for yellow Chartreuse. Cognac provides dried-fruit richness, lemon keeps the drink bright, and Chartreuse adds honeyed herbal depth that softens the need for much additional sugar. Shaken and served up, it reads as a French sour with more spice than a standard Sidecar. Harry MacElhone printed an early version in the 1920s.","Shake a Champs-Élysées with Cognac, yellow Chartreuse, and lemon juice for a herbal Sidecar variation.",Cognac,Sour,classic|sour|sidecar-family|french,cognac|chartreuse|lemon|shaken|sidecar,,"Champs-Élysées served in a chilled coupe, pale gold in color, garnished with a lemon twist.",Coupe,lemon twist,Shake,Intermediate,7,4,6,3,8,5,Yellow Chartreuse already sweetens; add only a teaspoon of syrup if the Cognac is especially dry. Shake hard and fine-strain for a clean surface.,"An early Champs-Élysées recipe appears in Harry MacElhone’s ABC of Mixing Cocktails (1923), pairing Cognac with Chartreuse and lemon.","Harry MacElhone, ABC of Mixing Cocktails (1923)",{},2 oz Cognac|0.75 oz yellow Chartreuse|0.75 oz fresh lemon juice|1 tsp simple syrup|2 dashes Angostura bitters,"1. Add Cognac, yellow Chartreuse, lemon juice, simple syrup, and Angostura to a shaker with ice. 2. Shake until well chilled. 3. Fine-strain into a chilled coupe. 4. Garnish with a lemon twist."
mw_review_001_003,fancy-free,Fancy Free,An Old Fashioned variation sweetened with maraschino liqueur instead of simple syrup.,"The Fancy Free keeps the Old Fashioned’s whiskey-and-bitters core but replaces plain sugar with maraschino liqueur. Bourbon remains dominant, while maraschino adds cherry-almond sweetness and orange bitters lift the aroma. Stirred over ice and served on a large cube, it stays dry enough to drink as a spirit-forward cocktail rather than a sweetened whiskey drink. David Embury published the formula in 1948.","Stir a Fancy Free with bourbon, maraschino liqueur, and bitters for a classic Old Fashioned variation.",Bourbon,Spirit-Forward,classic|spirit-forward|old-fashioned-family,bourbon|maraschino|bitters|stirred|old-fashioned,,"Fancy Free served in a rocks glass over a large ice cube, amber in color, garnished with an orange twist.",Rocks glass,orange twist,Stir,Easy,8,4,1,5,7,6,Measure the maraschino carefully; a half-ounce is enough. Express the orange peel over the drink to reinforce the orange bitters.,David Embury’s The Fine Art of Mixing Drinks (1948) records the Fancy Free as an Old Fashioned built with maraschino rather than sugar syrup.,"David Embury, The Fine Art of Mixing Drinks (1948)",{},2 oz bourbon|0.5 oz maraschino liqueur|2 dashes orange bitters|2 dashes Angostura bitters,"1. Add bourbon, maraschino, orange bitters, and Angostura to a mixing glass with ice. 2. Stir until well chilled. 3. Strain over a large ice cube in a rocks glass. 4. Garnish with an expressed orange twist."
mw_review_001_004,floridita-daiquiri,Floridita Daiquiri,Havana’s El Floridita daiquiri variation with grapefruit juice and maraschino liqueur.,"The Floridita Daiquiri elaborates the classic rum-lime-sugar sour with grapefruit juice and a touch of maraschino. White rum stays clean and light, lime and grapefruit tighten the acidity, and maraschino adds subtle cherry depth without turning the drink heavy. Shaken and served up, it is colder and more layered than a three-ingredient Daiquiri. Constantino Ribalaigua Vert developed the house style at El Floridita in Havana.","Shake a Floridita Daiquiri with white rum, lime, grapefruit, and maraschino for a Havana classic.",Rum,Sour,classic|sour|daiquiri-family|havana,rum|lime|grapefruit|maraschino|shaken|cuban,,"Floridita Daiquiri served in a chilled coupe, pale yellow in color, no garnish.",Coupe,None,Shake,Intermediate,6,4,7,2,6,5,Fresh grapefruit juice is essential; bottled juice dulls the drink. Keep maraschino at a quarter-ounce so it seasons rather than sweetens.,Constantino Ribalaigua Vert refined multiple daiquiri styles at Havana’s El Floridita; the grapefruit-and-maraschino version is closely associated with the bar’s mid-century reputation.,"Jeffrey Morgenthaler, The Bar Book; El Floridita bar histories",{},2 oz white rum|0.5 oz fresh lime juice|0.5 oz fresh grapefruit juice|0.5 oz simple syrup|0.25 oz maraschino liqueur,"1. Add rum, lime juice, grapefruit juice, simple syrup, and maraschino to a shaker with ice. 2. Shake until well chilled. 3. Fine-strain into a chilled coupe. 4. Serve without garnish."
mw_review_001_005,improved-whiskey-cocktail,Improved Whiskey Cocktail,"A nineteenth-century whiskey cocktail enhanced with maraschino, absinthe, and dual bitters.","The Improved Whiskey Cocktail starts from spirit, sugar, and bitters, then adds maraschino and absinthe for aromatic lift. Rye provides spice and dryness, the bitters deepen the finish, and the liqueur additions perfume the drink without turning it into a multi-liqueur showpiece. Stirred and served up or on a large cube, it sits between a plain whiskey cocktail and later Old Fashioned elaborations. Jerry Thomas published an early improved-style template in the 1860s.","Stir an Improved Whiskey Cocktail with rye, maraschino, absinthe, and bitters for a classic 19th-century drink.",Rye,Spirit-Forward,classic|spirit-forward|old-fashioned-family|improved,rye|maraschino|absinthe|bitters|stirred,,"Improved Whiskey Cocktail served in a chilled coupe, amber in color, garnished with a lemon twist.",Coupe,lemon twist,Stir,Intermediate,8,3,1,5,9,6,Treat absinthe as seasoning—rinse or a scant quarter-ounce is enough. Dual bitters matter; Peychaud’s softens Angostura’s spice.,Jerry Thomas’s How to Mix Drinks (1862) popularized “improved” cocktails that add liqueurs and absinthe to the basic spirit-sugar-bitters formula.,"Jerry Thomas, How to Mix Drinks (1862); David Wondrich, Imbibe!",{},2 oz rye whiskey|1 barspoon simple syrup|0.25 oz maraschino liqueur|0.25 oz absinthe|2 dashes Angostura bitters|2 dashes Peychaud’s bitters,"1. Add rye, simple syrup, maraschino, absinthe, and both bitters to a mixing glass with ice. 2. Stir until well chilled. 3. Strain into a chilled coupe. 4. Garnish with a lemon twist."
mw_review_001_006,little-italy,Little Italy,A modern Manhattan variation that splits the sweetener between vermouth and Cynar.,"The Little Italy keeps rye whiskey as the base and replaces part of the Manhattan’s sweet vermouth with Cynar. Rye supplies spice, vermouth keeps wine sweetness, and Cynar adds artichoke bitterness and herbal depth. Stirred and served on a large cube, it drinks drier and more bitter than a standard Manhattan while remaining clearly in that family. Audrey Saunders created the drink at New York’s Pegu Club in 2005.","Stir a Little Italy with rye whiskey, Cynar, and sweet vermouth for a bitter Manhattan variation.",Rye,Spirit-Forward,modern-classic|spirit-forward|manhattan-family|amaro,rye|cynar|vermouth|bitters|stirred|pegu-club,,"Little Italy served in a rocks glass over a large ice cube, dark amber in color, garnished with a cherry.",Rocks glass,brandied cherry,Stir,Intermediate,8,3,1,7,8,6,Saunders’s proportions keep Cynar supporting rather than dominating. Use a spicy rye and chill thoroughly before straining over fresh ice.,"Audrey Saunders created the Little Italy at Pegu Club in New York in 2005, using Cynar to push the Manhattan toward a drier, amaro-accented profile.",Punch Drink; Pegu Club cocktail histories,{},2 oz rye whiskey|0.75 oz sweet vermouth|0.5 oz Cynar|1 dash Angostura bitters,"1. Add rye, sweet vermouth, Cynar, and Angostura to a mixing glass with ice. 2. Stir until well chilled. 3. Strain over a large ice cube in a rocks glass. 4. Garnish with a brandied cherry."
mw_review_001_007,montgomery-martini,Montgomery Martini,An extra-dry gin Martini built at a 6:1 gin-to-vermouth ratio.,"The Montgomery Martini sits at the dry end of the Martini spectrum, using roughly six parts gin to one part dry vermouth. Gin remains the primary flavor, while vermouth softens edges and adds faint herbal roundness rather than equal partnership. Stirred ice-cold and served up, the drink depends on clean gin and disciplined dilution. The nickname references Field Marshal Bernard Montgomery and the dry ratios associated with mid-century Martini taste.",Stir a Montgomery Martini with gin and dry vermouth in a 6:1 ratio for an extra-dry classic.,Gin,Spirit-Forward,classic|spirit-forward|martini-family|dry,gin|dry-vermouth|stirred|martini|extra-dry,,"Montgomery Martini served in a chilled coupe, clear and pale, garnished with a lemon twist.",Coupe,lemon twist|olive,Stir,Easy,9,1,1,2,6,7,Stir longer than a wetter Martini so dilution rounds the high-proof gin. Choose lemon twist or olive; do not combine both.,"The Montgomery nickname is linked in cocktail lore to Field Marshal Bernard Montgomery and a preference for very dry Martinis, commonly cited around a 6:1 ratio.",Cocktail lore summarized in modern Martini histories; ratio convention in craft-bar practice,{},3 oz gin|0.5 oz dry vermouth,1. Add gin and dry vermouth to a mixing glass with ice. 2. Stir until very cold and silky. 3. Strain into a chilled coupe. 4. Garnish with a lemon twist or olive.
mw_review_001_008,preakness,Preakness,A Manhattan variation enriched with Bénédictine and named for the Preakness Stakes.,"The Preakness builds on rye, sweet vermouth, and bitters, then adds Bénédictine for herbal sweetness and spice. Compared with a standard Manhattan, it is richer and slightly softer on the finish while remaining stirred and spirit-forward. Served up, it reads as a racing-season Manhattan cousin rather than a separate template. The name references the Preakness Stakes, the second leg of the Triple Crown.","Stir a Preakness with rye whiskey, sweet vermouth, and Bénédictine for a Manhattan variation.",Rye,Spirit-Forward,classic|spirit-forward|manhattan-family,rye|vermouth|benedictine|bitters|stirred,,"Preakness served in a chilled coupe, amber-brown in color, garnished with a lemon twist.",Coupe,lemon twist,Stir,Intermediate,8,5,1,4,7,6,"If the drink tastes candy-sweet, reduce Bénédictine before cutting vermouth. A spicy rye keeps the profile from becoming soft.",The Preakness appears in mid-twentieth-century American cocktail lists as a Manhattan-style drink named for the Preakness Stakes.,Mid-century American cocktail manuals; racing-cocktail tradition summaries,{},2 oz rye whiskey|1 oz sweet vermouth|0.5 oz Bénédictine|2 dashes Angostura bitters,"1. Add rye, sweet vermouth, Bénédictine, and Angostura to a mixing glass with ice. 2. Stir until well chilled. 3. Strain into a chilled coupe. 4. Garnish with a lemon twist."
mw_review_001_009,widows-kiss,Widow's Kiss,A pre-Prohibition stirred drink of calvados with yellow Chartreuse and Bénédictine.,"The Widow’s Kiss uses apple brandy as a base and layers yellow Chartreuse and Bénédictine for honeyed herbal sweetness. Calvados contributes ripe apple and oak, while the two liqueurs thicken the texture and perfume the finish. Stirred and served up, it is rich, aromatic, and distinctly nineteenth-century in structure. George Kappeler published the drink in 1895.","Stir a Widow's Kiss with calvados, yellow Chartreuse, and Bénédictine for a classic apple brandy cocktail.",Apple Brandy,Spirit-Forward,classic|spirit-forward|pre-prohibition|apple,calvados|chartreuse|benedictine|bitters|stirred,,"Widow's Kiss served in a chilled coupe, golden-amber in color, no fruit garnish required.",Coupe,None,Stir,Intermediate,8,6,1,4,9,7,No extra sugar is needed. Prefer true calvados or a characterful apple brandy over a neutral apple spirit.,George Kappeler’s Modern American Drinks (1895) includes the Widow’s Kiss among early published apple brandy cocktails.,"George Kappeler, Modern American Drinks (1895); David Wondrich, Imbibe!",{},2 oz calvados|0.5 oz yellow Chartreuse|0.5 oz Bénédictine|2 dashes Angostura bitters,"1. Add calvados, yellow Chartreuse, Bénédictine, and Angostura to a mixing glass with ice. 2. Stir until well chilled. 3. Strain into a chilled coupe. 4. Serve without garnish, or with a thin apple slice only if desired."
mw_review_001_010,boulevardier,Boulevardier,A whiskey Negroni of bourbon or rye with Campari and sweet vermouth.,"The Boulevardier replaces the Negroni’s gin with whiskey while keeping Campari and sweet vermouth. Bourbon softens the bitter edge with caramel and oak; rye keeps the drink drier and spicier. Stirred over ice and served on a rock or up, it is denser and warmer than a Negroni but equally structured. Erskine Gwynne’s Paris magazine The Boulevardier helped popularize the name in the 1920s.","Stir a Boulevardier with bourbon, Campari, and sweet vermouth for a classic whiskey Negroni.",Bourbon,Spirit-Forward,classic|spirit-forward|negroni-family|aperitivo,bourbon|campari|vermouth|bitter|stirred|negroni,,"Boulevardier served in a rocks glass over a large ice cube, deep red in color, garnished with an orange peel.",Rocks glass,orange peel,Stir,Easy,8,3,1,8,8,6,Equal parts work; many modern bars prefer a slightly whiskey-forward 1.5:1:1 build. Express the orange peel over the surface.,The Boulevardier is associated with Erskine Gwynne’s Paris magazine of the same name in the 1920s and is structurally a whiskey Negroni.,Harry McElhone era Paris cocktail histories; Punch Drink,{},1.5 oz bourbon|1 oz Campari|1 oz sweet vermouth,"1. Add bourbon, Campari, and sweet vermouth to a mixing glass with ice. 2. Stir until well chilled. 3. Strain over a large ice cube in a rocks glass. 4. Garnish with an expressed orange peel."
