ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions
mw_review_004_001,eggnog,Eggnog,"A rich holiday punch of eggs, milk, cream, sugar, and spirit, finished with nutmeg.","Eggnog is a festive dairy-and-egg punch fortified with brandy, rum, or whiskey. Sugar and spice round the dairy, while nutmeg finishes the aroma. Served cold in a punch cup or mug, it is one of the core Christmas and winter holiday drinks in North America.","Make classic Eggnog with eggs, milk, cream, sugar, and brandy or rum for a holiday punch.",Brandy,Punch,holiday|christmas|winter|punch|dessert,eggnog|brandy|rum|nutmeg|christmas,,"Eggnog in a punch cup, creamy pale, nutmeg dusting.",Mug,grated nutmeg,Build,Intermediate,5,7,0,0,7,9,Use pasteurized eggs if preferred. Chill thoroughly before serving. Spirit choice is flexible.,Eggnog descends from earlier British milk-and-egg possets and became a staple of American holiday entertaining.,British and American holiday drink histories,{},1 oz brandy|1 oz dark rum|1 whole egg|1 oz simple syrup|2 oz whole milk|1 oz heavy cream|grated nutmeg,"1. Shake egg, syrup, and spirits without ice until frothy. 2. Add milk, cream, and ice; shake again. 3. Strain into a chilled cup. 4. Dust with nutmeg."
mw_review_004_002,coquito,Coquito,"A Puerto Rican coconut holiday punch with rum, spices, and condensed milk.","Coquito is a coconut-forward holiday punch associated with Puerto Rican Christmas celebrations. Rum, coconut milk or cream of coconut, sweetened condensed milk, and warm spices create a rich, fragrant drink served cold in small glasses. It is festive, batchable, and distinct from eggnog.","Make Coquito with rum, coconut, condensed milk, and spice for a classic Puerto Rican holiday punch.",Rum,Punch,holiday|christmas|punch|caribbean,rum|coconut|coquito|cinnamon|christmas,,"Coquito in a small glass, creamy white, cinnamon dusting.",Rocks glass,ground cinnamon,Build,Easy,5,8,0,0,8,9,Blend and chill overnight for best texture. Adjust rum to taste; white or gold rum both work.,"Coquito is a Puerto Rican Christmas tradition, often made in batches and shared among family and neighbors.",Puerto Rican holiday foodways,{},2 oz white rum|2 oz cream of coconut|2 oz sweetened condensed milk|2 oz evaporated milk|0.25 tsp vanilla|pinch cinnamon|pinch nutmeg,1. Blend all ingredients until smooth. 2. Chill thoroughly. 3. Serve cold in small glasses. 4. Dust with cinnamon.
mw_review_004_003,peppermint-martini,Peppermint Martini,"A holiday dessert martini with vodka, peppermint, and white chocolate or cream liqueur.","The Peppermint Martini is a Christmas party cocktail built from vodka and peppermint flavor with a creamy or white-chocolate liqueur base. Shaken and served up, it is minty, sweet, and explicitly festive. A light hand with peppermint keeps it from tasting like mouthwash.",Shake a Peppermint Martini with vodka and peppermint liqueur for a Christmas dessert cocktail.,Vodka,Dessert,holiday|christmas|dessert|party,vodka|peppermint|cream|christmas|martini,,"Peppermint Martini in a coupe, pale creamy white, ungarnished.",Coupe,None,Shake,Easy,4,7,0,0,8,7,Start with less peppermint schnapps than you think. Optional crushed-candy rim is often too sweet for catalog photography.,Peppermint martinis became Christmas-menu staples alongside other dessert martinis in early-2000s American bars.,Modern holiday cocktail menus,{},1.5 oz vodka|1 oz white chocolate or Irish cream liqueur|0.5 oz peppermint schnapps|0.5 oz white crème de cacao optional,1. Shake all ingredients with ice. 2. Fine-strain into a chilled coupe. 3. Serve ungarnished.
mw_review_004_004,gingerbread-martini,Gingerbread Martini,"A spiced holiday dessert martini with vodka, gingerbread syrup, and cream liqueur.","The Gingerbread Martini translates gingerbread-cookie spice into a shaken dessert cocktail. Vodka and cream liqueur carry ginger, molasses, and spice syrup. Served up, it is a recognizable Christmas and winter party drink.","Shake a Gingerbread Martini with vodka, gingerbread syrup, and cream liqueur for a holiday cocktail.",Vodka,Dessert,holiday|christmas|dessert|party,vodka|gingerbread|spice|cream|christmas,,"Gingerbread Martini in a coupe, light brown, spice dusting.",Coupe,grated nutmeg,Shake,Easy,4,7,0,1,8,7,Homemade gingerbread syrup beats artificial mixes. Keep total sweetness in check.,Gingerbread cocktails followed the broader holiday dessert-flavor trend into winter bar menus.,Modern seasonal dessert cocktail menus,{},1.5 oz vodka|1 oz Irish cream|0.75 oz gingerbread syrup|0.5 oz coffee liqueur optional,1. Shake all ingredients with ice. 2. Fine-strain into a chilled coupe. 3. Dust with nutmeg.
mw_review_004_005,cranberry-cosmo,Cranberry Cosmo,A Thanksgiving-leaning Cosmopolitan with a stronger cranberry emphasis.,"The Cranberry Cosmo keeps the Cosmopolitan’s vodka, orange liqueur, and citrus frame while leaning harder into cranberry for holiday color and tartness. Shaken and served up, it fits Thanksgiving and Christmas entertaining without reinventing the template.","Shake a Cranberry Cosmo with vodka, cranberry, orange liqueur, and lime for a holiday cocktail.",Vodka,Sour,holiday|thanksgiving|sour|party,vodka|cranberry|lime|cosmo|thanksgiving,,"Cranberry Cosmo in a coupe, deep pink-red, ungarnished.",Coupe,None,Shake,Easy,5,4,6,1,5,5,Use real cranberry juice cocktail or a mix of juice and simple syrup; avoid overly sweet bottled mixes.,Cranberry-forward Cosmo variations are common Thanksgiving menu specials because cranberry already signals the holiday table.,American holiday cocktail menu practice,{},1.5 oz citrus vodka|1 oz cranberry juice|0.75 oz Cointreau|0.5 oz fresh lime juice,1. Shake all ingredients with ice. 2. Fine-strain into a chilled coupe. 3. Serve ungarnished.
mw_review_004_006,cranberry-margarita,Cranberry Margarita,A tequila margarita brightened with cranberry for holiday color and tartness.,"The Cranberry Margarita preserves tequila, lime, and orange liqueur while adding cranberry for seasonal tartness and color. Served on the rocks, it works for Thanksgiving and Christmas parties where a familiar margarita template is welcome with a holiday accent.","Shake a Cranberry Margarita with tequila, cranberry, lime, and orange liqueur for a holiday twist.",Tequila,Sour,holiday|thanksgiving|sour|margarita-family,tequila|cranberry|lime|margarita|holiday,,"Cranberry Margarita in a rocks glass over ice, red-pink, optional salt rim.",Rocks glass,lime wheel|optional salt rim,Shake,Easy,6,3,6,1,5,5,Keep cranberry modest so lime and tequila stay present. Half salt rim is enough.,Cranberry margaritas became a standard holiday riff as bars looked for festive color without abandoning popular templates.,Modern holiday margarita menus,{},2 oz blanco tequila|1 oz cranberry juice|0.75 oz fresh lime juice|0.5 oz Cointreau,1. Optional salt half-rim. 2. Shake all ingredients with ice. 3. Strain over fresh ice. 4. Garnish with a lime wheel.
mw_review_004_007,thanksgiving-punch,Thanksgiving Punch,"A sharing punch of cognac or whiskey with apple cider, cranberry, and spice.","Thanksgiving Punch is a batchable fall holiday punch built from spirit, apple cider, cranberry, and citrus. Spice and fruit make it table-friendly for gatherings. Served over ice in a punch bowl or pitcher, it is designed for hosting rather than single-serve precision.","Build Thanksgiving Punch with cognac, apple cider, cranberry, and spice for a holiday sharing drink.",Cognac,Punch,holiday|thanksgiving|punch|party|fall,cognac|apple-cider|cranberry|punch|thanksgiving,,"Thanksgiving Punch in a punch cup over ice, deep amber-red, orange peel.",Punch cup,orange peel|cinnamon stick,Build,Easy,5,5,4,1,7,4,Batch and chill before guests arrive. Add sparkling wine or soda at service for lift if desired.,American Thanksgiving punches often combine cider and cranberry because both ingredients already define the holiday meal.,American holiday entertaining traditions,{},6 oz Cognac|8 oz apple cider|6 oz cranberry juice|2 oz fresh orange juice|1 oz simple syrup|2 dashes Angostura bitters|optional 4 oz sparkling wine,"1. Combine Cognac, cider, juices, syrup, and bitters in a pitcher with ice. 2. Stir to chill. 3. Serve in cups over ice. 4. Top with sparkling wine if using and garnish."
mw_review_004_008,wassail,Wassail,A hot spiced holiday punch of cider or ale with fruit and warm spice.,"Wassail is a hot festive punch rooted in English winter celebration. Apple cider or ale is warmed with citrus, sugar, and spices, sometimes fortified with spirit. Served in mugs, it is communal and ceremonial rather than a precise cocktail template.","Warm Wassail with apple cider, spice, and citrus for a classic holiday punch.",Wine,Hot,holiday|christmas|hot|punch|winter,cider|spice|hot|wassail|christmas,,"Wassail in a mug, amber, cinnamon stick, light steam.",Mug,cinnamon stick|orange peel,Build,Easy,3,6,2,1,9,5,Keep below a boil. Fortify with brandy or sherry at the end if desired.,Wassailing refers both to the drink and to winter blessing rituals in English orchard and Christmas traditions.,English wassail and Christmas traditions,{},6 oz apple cider|1 oz brandy optional|0.5 oz honey|orange peel|2 cloves|1 cinnamon stick|pinch allspice,1. Warm cider with honey and spices. 2. Add optional brandy in the mug. 3. Top with hot cider. 4. Garnish with cinnamon and orange peel.
mw_review_004_009,smoking-bishop,Smoking Bishop,A Victorian hot port punch with roasted oranges and spice.,"Smoking Bishop is a hot port-and-citrus punch associated with Victorian Christmas literature and older English bishop punches. Oranges are roasted or studded with cloves, then combined with port and warm spice. Served hot, it is festive, aromatic, and historical.","Make a Smoking Bishop with port, roasted orange, and spice for a classic Victorian holiday punch.",Wine,Hot,holiday|christmas|hot|punch|classic,port|orange|spice|christmas|victorian,,"Smoking Bishop in a mug, deep ruby, orange peel, light steam.",Mug,orange peel,Build,Intermediate,5,5,2,2,8,5,Roast clove-studded oranges before combining with warmed port. Do not boil the port.,Smoking Bishop is famously referenced at the end of Charles Dickens’s A Christmas Carol as a reconciliatory Christmas drink.,"Charles Dickens, A Christmas Carol; English bishop punch histories",{},4 oz ruby port|1 oz cognac optional|half roasted orange studded with cloves|0.5 oz sugar|1 cinnamon stick|pinch allspice,1. Warm port with sugar and spices. 2. Add roasted clove-studded orange and optional cognac. 3. Steep briefly and strain into a mug. 4. Garnish with orange peel.
mw_review_004_010,black-velvet,Black Velvet,A layered sparkling mix of stout and Champagne for ceremonial occasions.,"The Black Velvet combines equal parts stout and Champagne in a flute. The beer’s roasted bitterness meets sparkling wine’s acidity for a surprising, elegant two-ingredient drink. It is associated with mourning and celebration alike in cocktail lore and suits New Year’s or formal winter hosting.",Build a Black Velvet with stout and Champagne for a classic ceremonial sparkling cocktail.,Wine,Sparkling,holiday|nye|sparkling|classic,champagne|stout|sparkling|nye|layered,,"Black Velvet in a Champagne flute, dark stout beneath pale sparkling wine.",Champagne flute,None,Build,Easy,5,2,2,4,6,6,"Pour stout first, then Champagne gently to preserve a visual layer. Guinness is traditional.","The Black Velvet is said to have been created in 1861 to mourn Prince Albert, mixing black stout with Champagne.",Classic Champagne cocktail histories,{},3 oz chilled stout|3 oz chilled Champagne,1. Pour stout into a chilled flute. 2. Slowly top with Champagne over a spoon if layering. 3. Serve ungarnished.
